TRACK_ID	NAME	technique	CATEGORY	institute	source	experiment	developmental-stage	tissue	condition	summary	citation	project	accession	date	analyst	SCIPRJ	ACCESS	biosample	NGS_file	MLONG	FILENAME	TRACK_PATH	ASSEMBLY_1	ASSEMBLY_2	BED1_PATH	BED2_PATH	MAF
MOLNG-1571.16.neg.bw	F-mus-3.neg	RNASeq	Gene Expression														PUBLIC				MOLNG-1571.16.neg.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1571.16.neg.bw					
MOLNG-1571.22.pos.bw	M-mus-1.pos	RNASeq	Gene Expression														PUBLIC				MOLNG-1571.22.pos.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1571.22.pos.bw					
MOLNG-1571.20.pos.bw	M-mus-2.pos	RNASeq	Gene Expression														PUBLIC				MOLNG-1571.20.pos.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1571.20.pos.bw					
MOLNG-1571.25.pos.bw	M-mus-3.pos	RNASeq	Gene Expression														PUBLIC				MOLNG-1571.25.pos.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1571.25.pos.bw					
MOLNG-1571.22.neg.bw	M-mus-1.neg	RNASeq	Gene Expression														PUBLIC				MOLNG-1571.22.neg.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1571.22.neg.bw					
MOLNG-1571.20.neg.bw	M-mus-2.neg	RNASeq	Gene Expression														PUBLIC				MOLNG-1571.20.neg.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1571.20.neg.bw					
MOLNG-1571.25.neg.bw	M-mus-3.neg	RNASeq	Gene Expression														PUBLIC				MOLNG-1571.25.neg.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1571.25.neg.bw					
MOLNG-1571.15.pos.bw	F-mf-1.pos	RNASeq	Gene Expression														PUBLIC				MOLNG-1571.15.pos.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1571.15.pos.bw					
MOLNG-1571.17.pos.bw	F-mf-2.pos	RNASeq	Gene Expression														PUBLIC				MOLNG-1571.17.pos.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1571.17.pos.bw					
MOLNG-1571.13.pos.bw	F-mf-3.pos	RNASeq	Gene Expression														PUBLIC				MOLNG-1571.13.pos.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1571.13.pos.bw					
MOLNG-1571.15.neg.bw	F-mf-1.neg	RNASeq	Gene Expression														PUBLIC				MOLNG-1571.15.neg.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1571.15.neg.bw					
MOLNG-1571.17.neg.bw	F-mf-2.neg	RNASeq	Gene Expression														PUBLIC				MOLNG-1571.17.neg.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1571.17.neg.bw					
MOLNG-1571.13.neg.bw	F-mf-3.neg	RNASeq	Gene Expression														PUBLIC				MOLNG-1571.13.neg.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1571.13.neg.bw					
MOLNG-1571.27.pos.bw	M-mf-1.pos	RNASeq	Gene Expression														PUBLIC				MOLNG-1571.27.pos.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1571.27.pos.bw					
MOLNG-1571.26.pos.bw	M-mf-2.pos	RNASeq	Gene Expression														PUBLIC				MOLNG-1571.26.pos.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1571.26.pos.bw					
MOLNG-1571.18.pos.bw	M-mf-3.pos	RNASeq	Gene Expression														PUBLIC				MOLNG-1571.18.pos.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1571.18.pos.bw					
MOLNG-1571.27.neg.bw	M-mf-1.neg	RNASeq	Gene Expression														PUBLIC				MOLNG-1571.27.neg.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1571.27.neg.bw					
MOLNG-1571.26.neg.bw	M-mf-2.neg	RNASeq	Gene Expression														PUBLIC				MOLNG-1571.26.neg.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1571.26.neg.bw					
MOLNG-1571.18.neg.bw	M-mf-3.neg	RNASeq	Gene Expression														PUBLIC				MOLNG-1571.18.neg.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1571.18.neg.bw					
MOLNG-1571.11.bam	MOLNG-1571 sample 11	RNASeq	Aligned Reads														ADMIN				MOLNG-1571.11.bam	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/bams/MOLNG-1571.11.bam					
MOLNG-1571.12.bam	MOLNG-1571 sample 12	RNASeq	Aligned Reads														ADMIN				MOLNG-1571.12.bam	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/bams/MOLNG-1571.12.bam					
MOLNG-1571.13.bam	MOLNG-1571 sample 13	RNASeq	Aligned Reads														ADMIN				MOLNG-1571.13.bam	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/bams/MOLNG-1571.13.bam					
MOLNG-1571.14.bam	MOLNG-1571 sample 14	RNASeq	Aligned Reads														ADMIN				MOLNG-1571.14.bam	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/bams/MOLNG-1571.14.bam					
MOLNG-1571.15.bam	MOLNG-1571 sample 15	RNASeq	Aligned Reads														ADMIN				MOLNG-1571.15.bam	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/bams/MOLNG-1571.15.bam					
MOLNG-1571.16.bam	MOLNG-1571 sample 16	RNASeq	Aligned Reads														ADMIN				MOLNG-1571.16.bam	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/bams/MOLNG-1571.16.bam					
MOLNG-1571.17.bam	MOLNG-1571 sample 17	RNASeq	Aligned Reads														ADMIN				MOLNG-1571.17.bam	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/bams/MOLNG-1571.17.bam					
MOLNG-1571.18.bam	MOLNG-1571 sample 18	RNASeq	Aligned Reads														ADMIN				MOLNG-1571.18.bam	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/bams/MOLNG-1571.18.bam					
MOLNG-1571.19.bam	MOLNG-1571 sample 19	RNASeq	Aligned Reads														ADMIN				MOLNG-1571.19.bam	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/bams/MOLNG-1571.19.bam					
MOLNG-1571.20.bam	MOLNG-1571 sample 20	RNASeq	Aligned Reads														ADMIN				MOLNG-1571.20.bam	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/bams/MOLNG-1571.20.bam					
MOLNG-1571.21.bam	MOLNG-1571 sample 21	RNASeq	Aligned Reads														ADMIN				MOLNG-1571.21.bam	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/bams/MOLNG-1571.21.bam					
MOLNG-1571.22.bam	MOLNG-1571 sample 22	RNASeq	Aligned Reads														ADMIN				MOLNG-1571.22.bam	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/bams/MOLNG-1571.22.bam					
MOLNG-1571.23.bam	MOLNG-1571 sample 23	RNASeq	Aligned Reads														ADMIN				MOLNG-1571.23.bam	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/bams/MOLNG-1571.23.bam					
MOLNG-1571.24.bam	MOLNG-1571 sample 24	RNASeq	Aligned Reads														ADMIN				MOLNG-1571.24.bam	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/bams/MOLNG-1571.24.bam					
MOLNG-1571.25.bam	MOLNG-1571 sample 25	RNASeq	Aligned Reads														ADMIN				MOLNG-1571.25.bam	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/bams/MOLNG-1571.25.bam					
MOLNG-1571.26.bam	MOLNG-1571 sample 26	RNASeq	Aligned Reads														ADMIN				MOLNG-1571.26.bam	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/bams/MOLNG-1571.26.bam					
MOLNG-1571.27.bam	MOLNG-1571 sample 27	RNASeq	Aligned Reads														ADMIN				MOLNG-1571.27.bam	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/bams/MOLNG-1571.27.bam					
