label	key	technique	category	institute	source	experiment	developmental-stage	tissue	condition	summary	citation	project	accession	date	analyst	filename	SCIPRJ	access_level	biosample	NGS_file	MLONG
MOLNG-1901.5.pos.bw	6h_wild_type.pos	RNASeq	Gene Expression	SIMR	Bazzini Lab arb		adult		6h_wild_type	Ribo-dep Stranded RNASeq, adult sexed samples, several tissues		[SCI-003455] Sequencing - Bazzini	MOLNG-1901	2016-12-14	SHC	GCA_033964005.1/bulk_align/MOLNG-1901.5.pos.bw	[SCI-003455] Sequencing - Bazzini			n_1_ACAGTG.fastq.gz	
## browns: 6hr wt -																					
MOLNG-1901.5.neg.bw	6h_wild_type.neg	RNASeq	Gene Expression	SIMR	Bazzini Lab arb		adult		6h_wild_type	Ribo-dep Stranded RNASeq, adult sexed samples, several tissues		[SCI-003455] Sequencing - Bazzini	MOLNG-1901	2016-12-14	SHC	GCA_033964005.1/bulk_align/MOLNG-1901.5.neg.bw	[SCI-003455] Sequencing - Bazzini			n_1_ACAGTG.fastq.gz	
## oranges: 6h a_amanitin +																					
MOLNG-1901.6.pos.bw	6h_a_amanitin.pos	RNASeq	Gene Expression	SIMR	Bazzini Lab arb		adult		6h_a_amanitin	Ribo-dep Stranded RNASeq, adult sexed samples, several tissues		[SCI-003455] Sequencing - Bazzini	MOLNG-1901	2016-12-14	SHC	GCA_033964005.1/bulk_align/MOLNG-1901.6.pos.bw	[SCI-003455] Sequencing - Bazzini			n_1_GCCAAT.fastq.gz	
## oranges: 6hr a_amanitin  -																					
MOLNG-1901.6.neg.bw	6h_a_amanitin.neg	RNASeq	Gene Expression	SIMR	Bazzini Lab arb		adult		6h_a_amanitin	Ribo-dep Stranded RNASeq, adult sexed samples, several tissues		[SCI-003455] Sequencing - Bazzini	MOLNG-1901	2016-12-14	SHC	GCA_033964005.1/bulk_align/MOLNG-1901.6.neg.bw	[SCI-003455] Sequencing - Bazzini			n_1_GCCAAT.fastq.gz	
### end																					
																					
# 8hrs a_manitin																					
## browns: 8hr wt +																					
MOLNG-1901.7.pos.bw	8h_wild_type.pos	RNASeq	Gene Expression	SIMR	Bazzini Lab arb		adult		8h_wild_type	Ribo-dep Stranded RNASeq, adult sexed samples, several tissues		[SCI-003455] Sequencing - Bazzini	MOLNG-1901	2016-12-14	SHC	GCA_033964005.1/bulk_align/MOLNG-1901.7.pos.bw	[SCI-003455] Sequencing - Bazzini			n_1_CAGATC.fastq.gz	
## browns: 8hr wt -																					
MOLNG-1901.7.neg.bw	8h_wild_type.neg	RNASeq	Gene Expression	SIMR	Bazzini Lab arb		adult		8h_wild_type	Ribo-dep Stranded RNASeq, adult sexed samples, several tissues		[SCI-003455] Sequencing - Bazzini	MOLNG-1901	2016-12-14	SHC	GCA_033964005.1/bulk_align/MOLNG-1901.7.neg.bw	[SCI-003455] Sequencing - Bazzini			n_1_CAGATC.fastq.gz	
## oranges: 8hr a_amanitin +																					
MOLNG-1901.8.pos.bw	8h_a_manitin.pos	RNASeq	Gene Expression	SIMR	Bazzini Lab arb		adult		8h_a_manitin	Ribo-dep Stranded RNASeq, adult sexed samples, several tissues		[SCI-003455] Sequencing - Bazzini	MOLNG-1901	2016-12-14	SHC	GCA_033964005.1/bulk_align/MOLNG-1901.8.pos.bw	[SCI-003455] Sequencing - Bazzini			n_1_ACTTGA.fastq.gz	
## oranges: 8hr a_amanitin -																					
MOLNG-1901.8.neg.bw	8h_a_manitin.neg	RNASeq	Gene Expression	SIMR	Bazzini Lab arb		adult		8h_a_manitin	Ribo-dep Stranded RNASeq, adult sexed samples, several tissues		[SCI-003455] Sequencing - Bazzini	MOLNG-1901	2016-12-14	SHC	GCA_033964005.1/bulk_align/MOLNG-1901.8.neg.bw	[SCI-003455] Sequencing - Bazzini			n_1_ACTTGA.fastq.gz	
### end																					
																					
# 10hrs a_manitin																					
## browns: 10hr wt +																					
